date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:34	30731/30731	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f7-780b%22	http://doc.ruoyi.vip/assets/js/37.313b69e3.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/37.313b69e3.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:35	81809/81809	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f6-13f91%22	http://doc.ruoyi.vip/assets/js/36.65ff3237.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/36.65ff3237.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:35	272400/272400	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f6-42810%22	http://doc.ruoyi.vip/assets/js/35.f3cc01c6.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/35.f3cc01c6.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:35	599/599	---M--	200	added ('OK')	application/javascript	etag:%2264b797f7-257%22	http://doc.ruoyi.vip/assets/js/4.8dde3d3d.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/4.8dde3d3d.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:36	7417/7417	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f7-1cf9%22	http://doc.ruoyi.vip/assets/js/41.d9f8bb6f.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/41.d9f8bb6f.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:37	129096/129096	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f7-1f848%22	http://doc.ruoyi.vip/assets/js/39.7c8f7d74.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/39.7c8f7d74.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:37	118292/118292	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f7-1ce14%22	http://doc.ruoyi.vip/assets/js/42.5d3017ea.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/42.5d3017ea.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:39	24742/24742	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f8-60a6%22	http://doc.ruoyi.vip/assets/js/44.f0e8ee0c.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/44.f0e8ee0c.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:39	565283/565283	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f7-8a023%22	http://doc.ruoyi.vip/assets/js/38.881ce7c5.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/38.881ce7c5.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:39	46721/46721	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f7-b681%22	http://doc.ruoyi.vip/assets/js/43.8590fc5e.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/43.8590fc5e.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:40	6344/6344	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f8-18c8%22	http://doc.ruoyi.vip/assets/js/46.0d540bee.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/46.0d540bee.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:40	124642/124642	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f8-1e6e2%22	http://doc.ruoyi.vip/assets/js/45.4c55577f.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/45.4c55577f.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:41	684941/684941	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f7-a738d%22	http://doc.ruoyi.vip/assets/js/40.c1539c3d.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/40.c1539c3d.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:41	16449/16449	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f8-4041%22	http://doc.ruoyi.vip/assets/js/48.3d208697.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/48.3d208697.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:41	1829/1829	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f8-725%22	http://doc.ruoyi.vip/assets/js/5.12a29fb3.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/5.12a29fb3.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:41	14753/14753	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f8-39a1%22	http://doc.ruoyi.vip/assets/js/49.00820abf.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/49.00820abf.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:41	7260/7260	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f8-1c5c%22	http://doc.ruoyi.vip/assets/js/50.d89abcd3.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/50.d89abcd3.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:41	4991/4991	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f8-137f%22	http://doc.ruoyi.vip/assets/js/51.e31b866c.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/51.e31b866c.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:42	813/813	---M--	200	added ('OK')	application/javascript	etag:%2264b797f8-32d%22	http://doc.ruoyi.vip/assets/js/52.45849a13.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/52.45849a13.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:42	266688/266688	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f8-411c0%22	http://doc.ruoyi.vip/assets/js/47.4e5c3e43.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/47.4e5c3e43.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:42	122617/122617	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f8-1def9%22	http://doc.ruoyi.vip/assets/js/53.17464be5.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/53.17464be5.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:42	4284/4284	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f8-10bc%22	http://doc.ruoyi.vip/assets/js/54.dfd573e6.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/54.dfd573e6.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:44	44354/44354	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f9-ad42%22	http://doc.ruoyi.vip/assets/js/57.1eaf8f7c.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/57.1eaf8f7c.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:45	52137/52137	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f9-cba9%22	http://doc.ruoyi.vip/assets/js/56.80790d5c.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/56.80790d5c.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:45	6506/6506	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f9-196a%22	http://doc.ruoyi.vip/assets/js/59.057607cf.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/59.057607cf.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:45	702/702	---M--	200	added ('OK')	application/javascript	etag:%2264b797f9-2be%22	http://doc.ruoyi.vip/assets/js/6.cadd0cc0.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/6.cadd0cc0.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:46	273279/273279	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f9-42b7f%22	http://doc.ruoyi.vip/assets/js/58.2b3b4728.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/58.2b3b4728.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:46	15044/15044	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f9-3ac4%22	http://doc.ruoyi.vip/assets/js/61.57613f73.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/61.57613f73.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:48	23325/23325	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fa-5b1d%22	http://doc.ruoyi.vip/assets/js/63.855a1c1d.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/63.855a1c1d.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:48	54419/54419	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fa-d493%22	http://doc.ruoyi.vip/assets/js/62.75745127.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/62.75745127.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:48	828582/828582	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f9-ca4a6%22	http://doc.ruoyi.vip/assets/js/55.b3bbf0a5.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/55.b3bbf0a5.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:48	270820/270820	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797f9-421e4%22	http://doc.ruoyi.vip/assets/js/60.84f3e050.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/60.84f3e050.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:48	4989/4989	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fa-137d%22	http://doc.ruoyi.vip/assets/js/64.33f8ed8a.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/64.33f8ed8a.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:48	813/813	---M--	200	added ('OK')	application/javascript	etag:%2264b797fa-32d%22	http://doc.ruoyi.vip/assets/js/65.1a7c6f98.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/65.1a7c6f98.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:49	306/306	---M--	200	added ('OK')	application/javascript	etag:%2264b797fa-132%22	http://doc.ruoyi.vip/assets/js/7.be146951.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/7.be146951.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:52	214415/214415	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fa-3458f%22	http://doc.ruoyi.vip/assets/js/69.430e8668.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/69.430e8668.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:52	60424/60424	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fb-ec08%22	http://doc.ruoyi.vip/assets/js/70.0a87b0a8.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/70.0a87b0a8.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:52	20446/20446	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fb-4fde%22	http://doc.ruoyi.vip/assets/js/71.4ffb393e.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/71.4ffb393e.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:54	572158/572158	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fa-8bafe%22	http://doc.ruoyi.vip/assets/js/66.8c16f51d.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/66.8c16f51d.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:55	106245/106245	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fb-19f05%22	http://doc.ruoyi.vip/assets/js/73.b1028cc3.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/73.b1028cc3.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:58	172401/172401	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fb-2a171%22	http://doc.ruoyi.vip/assets/js/75.aa39c9d9.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/75.aa39c9d9.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:59	12853/12853	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fb-3235%22	http://doc.ruoyi.vip/assets/js/76.963cbbf5.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/76.963cbbf5.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:59	425239/425239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fb-67d17%22	http://doc.ruoyi.vip/assets/js/74.33e7f60b.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/74.33e7f60b.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:59	569248/569248	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fb-8afa0%22	http://doc.ruoyi.vip/assets/js/72.55693852.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/72.55693852.js	(from http://doc.ruoyi.vip/ruoyi/)
10:10:59	1232271/1232271	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fb-12cd8f%22	http://doc.ruoyi.vip/assets/js/68.5296fd7b.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/68.5296fd7b.js	(from http://doc.ruoyi.vip/ruoyi/)
10:11:00	57097/57097	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fb-df09%22	http://doc.ruoyi.vip/assets/js/77.de51c607.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/77.de51c607.js	(from http://doc.ruoyi.vip/ruoyi/)
10:11:00	23463/23463	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fb-5ba7%22	http://doc.ruoyi.vip/assets/js/78.1085add2.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/78.1085add2.js	(from http://doc.ruoyi.vip/ruoyi/)
10:11:01	3986/3986	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b797fc-f92%22	http://doc.ruoyi.vip/assets/js/8.f2529c4c.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/8.f2529c4c.js	(from http://doc.ruoyi.vip/ruoyi/)
10:11:01	813/813	---M--	200	added ('OK')	application/javascript	etag:%2264b797fc-32d%22	http://doc.ruoyi.vip/assets/js/80.2dfe3719.js	C:/Users/Hp-/Downloads/doc/doc.ruoyi.vip/assets/js/80.2dfe3719.js	(from http://doc.ruoyi.vip/ruoyi/)
